model,nb_input_token,temperature,top_p,top_k,nb_user,gpu_model,gpu_fp32_tflops,gpu_memory_gib,gpu_num,model_num_params,nb_output_token,inference_time
gemma3:12b,1235,0.0,0.9,10,1,NVIDIA GH200,67.0,96.0,1,12200000000,48,9.894
gemma3:12b,1301,0.0,0.9,10,1,NVIDIA GH200,67.0,96.0,1,12200000000,55,1.036
gemma3:12b,1373,0.0,0.9,10,1,NVIDIA GH200,67.0,96.0,1,12200000000,56,1.052
gemma3:12b,2354,0.0,0.9,10,1,NVIDIA GH200,67.0,96.0,1,12200000000,124,1.919
gemma3:12b,2495,0.0,0.9,10,1,NVIDIA GH200,67.0,96.0,1,12200000000,44,1.158
gemma3:12b,2577,0.0,0.9,10,1,NVIDIA GH200,67.0,96.0,1,12200000000,90,1.587
gemma3:12b,1235,0.0,0.9,10,1,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,7.021
gemma3:12b,1301,0.0,0.9,10,1,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,1.782
gemma3:12b,1366,0.0,0.9,10,1,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,1.856
gemma3:12b,2347,0.0,0.9,10,1,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,123,3.288
gemma3:12b,2487,0.0,0.9,10,1,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,33,1.959
gemma3:12b,2558,0.0,0.9,10,1,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,193,4.404
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.512
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.504
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.137
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,1.912
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,1.492
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.574
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.591
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.472
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.189
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,55,2.46
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,56,2.852
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,56,2.856
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,56,2.791
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,56,2.839
